name,producer,year,alcoholPercentage,volume,price,country,region,district,type,categoryTaste,usage,taste,tasteBitter,tasteSweetness,tasteFruitAcid,tasteBody,tasteRoughness,url,imageURL,grapes
"El Marascar, Rosato Veronese",Le Marognole,2017,12.5,750.0,194.0,Italy,Veneto,Veronese,Rose wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/el-marascar-7097301,,
"Ivory & Burt, Zinfandel",Lange Twins Collection of Family Wines,2015,15.0,750.0,179.0,USA,California,Inland Valleys,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/ivory-&-burt-7800201,,
"Canevel, Valdobbiadene Prosecco Superiore Brut",Canevel Spumanti,2019,11.0,750.0,149.0,Italy,Veneto,Prosecco,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/canevel-7379701,https://product-cdn.systembolaget.se/productimages/14019891/14019891,
"Casa Canevel, Prosecco Brut",Canevel Spumanti,,11.0,750.0,129.0,Italy,Veneto,Prosecco,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/casa-canevel-8135201,https://product-cdn.systembolaget.se/productimages/14019892/14019892,
"Vietti Barolo, Castiglione",Vietti,2015,14.5,750.0,519.0,Italy,Piedmont,Barolo,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/vietti-barolo-9524501,https://product-cdn.systembolaget.se/productimages/14040250/14040250,
"Petit Figeac, Saint-Emilion Grand Cru",Compagnie Médocaine des Grands Crus,2015,14.0,750.0,629.0,France,Bordeaux,Saint-Emilion,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/petit-figeac-7133601,,
"Délice du Prieuré, Saint-Èmilion Grand Cru",Chateau Siaurac,2014,14.0,750.0,324.0,France,Bordeaux,Saint-Emilion,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/délice-du-prieuré-7006901,,
"Baronne De Siaurac, Lalande de Pomerol",Chateau Siaurac,2013,13.0,750.0,246.0,France,Bordeaux,Lalande de Pomerol,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/baronne-de-siaurac-7272501,,
"Preparatus Supervivet, Lars Wilderängs",Domaine Roche,2017,14.5,750.0,175.0,France,Rhonedalen,Côtes du Rhône,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/preparatus-supervivet-7540601,https://product-cdn.systembolaget.se/productimages/14078502/14078502,
"Mas de Boislauzon, Quet",Mas de Boislauzon,2015,15.0,750.0,696.0,France,Rhonedalen,Châteauneuf-du-Pape,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/mas-de-boislauzon-7735801,,
"El Copero, Tinto",Bodegas Murviedro,,12.0,3000.0,229.0,Spain,Valencia,,Red wine,Soft & Berry,Served at about 16 ° C as a companion drink or with dishes of light meat.,"Berry, slightly spicy aroma with hints of cherries, cinnamon and strawberries.",0.0%,0.0%,75.0%,41.6666666666666767%,33.33333333333333%,https://www.systembolaget.se/produkt/vin/el-copero-7108508,https://product-cdn.systembolaget.se/productimages/14212185/14212185,Monastrell --- Bobal
Meursault Village,Henri Boillot,2017,13.0,750.0,699.0,France,Burgundy,,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/meursault-village-7358201,,
"Conti Ducco, Satén Cuvée Brut",Conti Ducco,,12.5,750.0,294.0,Italy,Lombardy,Franciacorta,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/conti-ducco-7710301,https://product-cdn.systembolaget.se/productimages/14222378/14222378,
"Grand Housteau, Crémant de Bordeaux Brut",Celene,,11.0,750.0,129.0,France,Bordeaux,Bordeaux Crémant,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/grand-housteau-7914201,,
"Avinyó, Blanc de Noirs Cava Brut Nature Reserva",Avinyó,,11.5,750.0,202.0,Spain,Cava,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/avinyó-7750901,,
"Muratie, Ansela van de Caab",Muratie,2012,14.5,750.0,205.0,South Africa,Western Cape,Coastal Region,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/muratie-7483001,,
"Barolo Monfalletto, Cordero di Montezemolo",Montezemolo Cord,2014,13.5,750.0,484.0,Italy,Piedmont,Barolo,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/barolo-monfalletto-7561501,,
"Barolo, Cordero di Montezemolo",Montezemolo Cord,2013,14.5,750.0,724.0,Italy,Piedmont,Barolo,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/barolo-7519001,,
"Minervois, Los Gals Rouge",Domaine Vordy Mayrannes,2012,14.0,750.0,277.0,France,Languedoc-Roussillon,Minervois,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/minervois-7400801,,
"Duval Leroy, Brut Reserve",Duval-Leroy,,12.0,750.0,399.0,France,Champagne,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/duval-leroy-7795501,,
"Frassinelli, Conegliano Valdobbiadene Prosecco Superiore Extra Dry",Azienda Agricola Frassinelli,,11.0,750.0,156.0,Italy,Veneto,Prosecco,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/frassinelli-7724401,,
"Cava Vega, Media Organic Brut",Segura Viudas,,11.5,750.0,115.0,Spain,Cava,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/cava-vega-7597301,https://sb-product-media-prod.azureedge.net/productimages/1016976/1016976,
"Aurore, Chenin blanc",Domaine des Grandes Esperances,2016,13.0,750.0,179.0,France,Loire Valley,Touraine,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/aurore-7126201,https://sb-product-media-prod.azureedge.net/productimages/1017306/1017306,
"Pouilly Fumé, Domaine de Terre Blanches",Domaine de Terre Blanches,2018,13.0,750.0,229.0,France,Loire Valley,Smoked Pouilly,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/pouilly-fumé-7147501,https://sb-product-media-prod.azureedge.net/productimages/1017334/1017334,
"Côtes du Rhône, La Borde",Le Plan des Moines,2018,14.0,750.0,139.0,France,Rhonedalen,Côtes du Rhône,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/côtes-du-rhône-7348901,https://product-cdn.systembolaget.se/productimages/1017647/1017647,
"Côte de Nuits-Villages, Reine Pédauque",Reine Pedauque,2014,13.0,750.0,209.0,France,Burgundy,Côte de Nuits,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/côte-de-nuits-villages-7263101,https://sb-product-media-prod.azureedge.net/productimages/1017796/1017796,
"Egly-Ouriet, Grand Cru Brut Rosé",Egly-Ouriet,,12.5,750.0,1029.0,France,Champagne,,Sparkling wine,Rosé,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/egly-ouriet-7777301,,
"Quintaluna, Verdejo",Ossian Vides y Vinos SL,2017,14.5,750.0,204.0,Spain,Castile-Leon,,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/quintaluna-7254001,,
"Barolo Serradenari, Giulia Negri",Giulia Negri,2013,14.0,750.0,425.0,Italy,Piedmont,Barolo,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/barolo-serradenari-7439301,,
Ossian,Ossian Vides y Vinos SL,2016,14.5,750.0,425.0,Spain,Castile-Leon,,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/ossian-7950401,,
"Marco Zunino, Malbec Bonarda",Marco Zunino,2013,13.5,750.0,130.0,Argentina,Cuyo,Mendoza,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/marco-zunino-7594801,,
"Château Rivière, Cuvée Prestige",Chantovent,2017,14.5,750.0,119.0,France,Languedoc-Roussillon,Minervois,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/château-rivière-7156901,,
"Château d´Hautpoul, Grande Reserve",Chantovent,2013,13.5,750.0,139.0,France,Languedoc-Roussillon,Minervois,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/château-d´hautpoul-7539201,,
"Realzin, Zinfandel",Angelo Rocca & Figli Srl,2018,13.0,750.0,110.0,Italy,Apulia,Salento,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/realzin-7325501,https://product-cdn.systembolaget.se/productimages/1026824/1026824,
"Domaine Les Fumées Blanches, Sauvignon Blanc",François Lurton,2019,12.5,750.0,129.0,France,France southwest,Côtes de Gascogne IGP,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/domaine-les-fumées-blanches-7730301,,
Cavas Avinyó Mixbox,Avinyó,,11.5,4500.0,1050.0,Spain,Cava,,Mixed boxes of wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/cavas-avinyó-mixlåda-7795609,,
"R Dumont, Brut Millésimé",R. Dumont & Fils,2008,12.0,750.0,419.0,France,Champagne,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/r-dumont-7750101,,
"AA Laièta, Gran Reserva Brut Nature",Alta Alella,2012,12.0,750.0,279.0,Spain,Cava,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/aa-laièta-7773401,,
"AA Orbus, 100% Syrah",Alta Alella,2013,13.5,750.0,359.0,Spain,Catalonia,Alella,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/aa-orbus-7563101,,
"Chablis, Grand Cru Les Clos Clotilde Davenne",Clotilde Davenne,2015,13.5,750.0,599.0,France,Burgundy,Chablis,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/chablis-7508801,,
Pinet's Picpoulet,GFA Font Mars,2018,13.0,750.0,138.0,France,Languedoc-Roussillon,Coteaux du Languedoc,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/picpoulet-de-pinet-7533001,,
"Bründlmayer, Langenloiser Steinmassel 1ÖTW Riesling",Weingut Bründlmayer,2016,12.5,750.0,199.0,Austria,Lower Austria,Kamptal,White wine,Fresh & Fruity,"Served at 8-10 ° C with fish or seafood dishes, or as an aperitif.","Nuanced, fruity, very fresh taste with hints of pear, mineral, white peach, herbs and lime.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/bründlmayer-243901,https://product-cdn.systembolaget.se/productimages/10357429/10357429,
"Cune, Reserva",Vinicola del Norte de España Company,2015,14.0,750.0,175.0,Spain,Rioja,,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/cune-7558801,https://product-cdn.systembolaget.se/productimages/10363091/10363091,
Dolcetto d'Alba,Fratelli Cigliuti,2017,13.5,750.0,169.0,Italy,Piedmont,Dolcetto d'Alba,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/dolcetto-d'alba-7426201,https://product-cdn.systembolaget.se/productimages/1038961/1038961,
"Lopez Cristobal, Crianza",Bodegas Lopez Cristobal,2016,14.5,750.0,299.0,Spain,Castile-Leon,Ribera del Duero,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/lopez-cristobal-7623601,,
"Brello Castle, Classic Chianti",Barone Ricasoli,2016,14.0,750.0,369.0,Italy,Tuscany,Chianti,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/castello-di-brolio-7800801,,
"La Spia, Valtellina Superiore",La Spia di Rigamonti Michele azienda Agricola,2014,12.5,750.0,249.0,Italy,Lombardy,Valtellina,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/la-spia-7809901,https://product-cdn.systembolaget.se/productimages/24425777/24425777,
"Twomey, Russian River Pinot Noir",Silver Oak & Twomey Cellars,2016,14.0,750.0,529.0,USA,California,North Coast,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/twomey-7365701,https://sb-product-media-prod.azureedge.net/productimages/24425823/24425823,
"Ripasso, Valpolicella Classico Superiore",Corte Rugolin,2017,14.5,750.0,236.0,Italy,Veneto,Valpolicella,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/ripasso-7070201,,
"Alain Bernard, Tradition Premier Cru Brut",Alain Bernard,,12.0,750.0,329.0,France,Champagne,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/alain-bernard-7731601,,
"Grosjean, Syrah Echelette",Società Agricola Grosjean Vins ss,2016,13.0,750.0,298.0,Italy,Aosta Valley,,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/grosjean-7856101,,
"Neumeister Straden, Sauvignon Blanc Vulkanland",Weingut Neumeister,2018,12.5,750.0,173.0,Austria,Styria,,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/neumeister-straden-7354301,https://sb-product-media-prod.azureedge.net/productimages/24426607/24426607,
"Mas Bécha, Excellence",Domaine du Mas Becha,2018,15.5,750.0,325.0,France,Languedoc-Roussillon,Côtes du Roussillon,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/mas-bécha-7606901,,
"La Comtesse, Albariño",Brands of Murrieta,2014,13.0,750.0,368.0,Spain,Galicia,Rías Baixas,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/la-comtesse-7854701,,
"Pere Ventura, Tresor Organic",Pere Ventura Family Estate,2014,11.5,750.0,139.0,Spain,Cava,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/pere-ventura-7732501,https://sb-product-media-prod.azureedge.net/productimages/24427045/24427045,
"Vigin Mery, Chardonnay",Azienda Agricola Vigin,2018,13.0,750.0,169.0,Italy,Piedmont,Langhe,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/vigin-mery-7895901,,
"Gea, Rosso di Montalcino", Il Paradiso di Frassina,2017,14.0,750.0,227.0,Italy,Tuscany,Rosso di Montalcino,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/gea-7858601,,
"Schloss Gobelsburg, Auslese Riesling",Gobelsburg Castle,2017,9.0,375.0,199.0,Austria,Lower Austria,,White wine,Sweet,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/schloss-gobelsburg-7904002,,
"Castellblanc, Brut Nature Cava",Castellblanch,,11.5,750.0,99.0,Spain,Cava,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/castellblanc-7774001,,
"Marrone, Barbera d'Alba La Pantalera",Agricola Gian Piero Marrone,2017,15.0,750.0,360.0,Italy,Piedmont,Barbera d'Alba,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/marrone-7918801,,
"Bottega Millesimato, Brut",Bottega Spa,2018,11.0,750.0,99.0,Italy,Veneto,Prosecco,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/bottega-millesimato-7725101,,
"Claes, Steilstlage Riesling Feinherb Apotheke",Weingut Claes Schmitt Erben,2018,11.5,750.0,171.0,Germany,Moselle,,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/claes-7909001,,
Buteljholmen 15,Nicolas Carmarans,2019,11.5,2250.0,927.0,France,France southwest,Count Tolosan IGP,Mixed boxes of wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/buteljholmen-15-7019909,,
"Williams Selyem, Vista Verde Pinot Noir",Williams Selyem,2016,13.5,750.0,999.0,USA,California,Central Coast,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/williams-selyem-7937101,,
"Bodegas Altanza, Special",Bodegas Altanza,,14.0,4500.0,1098.0,Spain,Rioja,,Mixed boxes of wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/bodegas-altanza-7517109,,
"Alsace, Riesling",Blanck André & Ses Fils,2018,13.5,750.0,119.0,France,Alsace,,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/alsace-7837401,,
"Los Monteros, Cava Brut",Cavas Murviedro,,11.5,750.0,99.0,Spain,Cava,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/los-monteros-7753701,https://sb-product-media-prod.azureedge.net/productimages/24431056/24431056,
"La Première, Grand Cru",Champagne Vincey,2014,12.5,750.0,689.0,France,Champagne,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/la-première-7796701,,
"Tomio Yamadanishiki, Junmai",Kitagawa Honke Co. Ltd.,,14.0,720.0,243.0,Japanese,,,Aperitif & Dessert,Sake,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/tomio-yamadanishiki-7799201,https://product-cdn.systembolaget.se/productimages/24432280/24432280,
"Lealtanza, Crianza",Bodegas Altanza,2016,13.5,750.0,129.0,Spain,Rioja,,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/lealtanza-7661901,,
"Arpepe, Valtellina Superiore Stella Retica",Arpepe,2015,13.5,750.0,381.0,Italy,Lombardy,Valtellina,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/arpepe-7548901,,
"Château de Cazeneuve, Les Calcaires",Cazeneuve Castle,2013,13.5,750.0,220.0,France,Languedoc-Roussillon,Coteaux du Languedoc,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/château-de-cazeneuve-7102401,,
"Los Frailes, Blanc de Trilogía",Finca Los Frailes,2019,13.5,750.0,165.0,Spain,Valencia,,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/los-frailes-7599401,,
"Los Frailes, Monastrell",Casa Los Frailes,2019,14.0,750.0,119.0,Spain,Valencia,,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/los-frailes-7499101,,
"Avinyó, Blanc de Noirs Cava Brut Nature Reserva",Avinyó,,11.5,750.0,202.0,Spain,Cava,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/avinyó-7750901,,
"Muratie, Ansela van de Caab",Muratie,2012,14.5,750.0,205.0,South Africa,Western Cape,Coastal Region,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/muratie-7483001,,
"Barolo Monfalletto, Cordero di Montezemolo",Montezemolo Cord,2014,13.5,750.0,484.0,Italy,Piedmont,Barolo,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/barolo-monfalletto-7561501,,
"Barolo, Cordero di Montezemolo",Montezemolo Cord,2013,14.5,750.0,724.0,Italy,Piedmont,Barolo,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/barolo-7519001,,
"Minervois, Los Gals Rouge",Domaine Vordy Mayrannes,2012,14.0,750.0,277.0,France,Languedoc-Roussillon,Minervois,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/minervois-7400801,,
"Duval Leroy, Brut Reserve",Duval-Leroy,,12.0,750.0,399.0,France,Champagne,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/duval-leroy-7795501,,
"Frassinelli, Conegliano Valdobbiadene Prosecco Superiore Extra Dry",Azienda Agricola Frassinelli,,11.0,750.0,156.0,Italy,Veneto,Prosecco,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/frassinelli-7724401,,
"Cava Vega, Media Organic Brut",Segura Viudas,,11.5,750.0,115.0,Spain,Cava,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/cava-vega-7597301,https://sb-product-media-prod.azureedge.net/productimages/1016976/1016976,
"Aurore, Chenin blanc",Domaine des Grandes Esperances,2016,13.0,750.0,179.0,France,Loire Valley,Touraine,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/aurore-7126201,https://sb-product-media-prod.azureedge.net/productimages/1017306/1017306,
"Pouilly Fumé, Domaine de Terre Blanches",Domaine de Terre Blanches,2018,13.0,750.0,229.0,France,Loire Valley,Smoked Pouilly,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/pouilly-fumé-7147501,https://sb-product-media-prod.azureedge.net/productimages/1017334/1017334,
"Côtes du Rhône, La Borde",Le Plan des Moines,2018,14.0,750.0,139.0,France,Rhonedalen,Côtes du Rhône,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/côtes-du-rhône-7348901,https://product-cdn.systembolaget.se/productimages/1017647/1017647,
"Côte de Nuits-Villages, Reine Pédauque",Reine Pedauque,2014,13.0,750.0,209.0,France,Burgundy,Côte de Nuits,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/côte-de-nuits-villages-7263101,https://sb-product-media-prod.azureedge.net/productimages/1017796/1017796,
"Egly-Ouriet, Grand Cru Brut Rosé",Egly-Ouriet,,12.5,750.0,1029.0,France,Champagne,,Sparkling wine,Rosé,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/egly-ouriet-7777301,,
"Quintaluna, Verdejo",Ossian Vides y Vinos SL,2017,14.5,750.0,204.0,Spain,Castile-Leon,,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/quintaluna-7254001,,
"Barolo Serradenari, Giulia Negri",Giulia Negri,2013,14.0,750.0,425.0,Italy,Piedmont,Barolo,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/barolo-serradenari-7439301,,
Ossian,Ossian Vides y Vinos SL,2016,14.5,750.0,425.0,Spain,Castile-Leon,,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/ossian-7950401,,
"Marco Zunino, Malbec Bonarda",Marco Zunino,2013,13.5,750.0,130.0,Argentina,Cuyo,Mendoza,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/marco-zunino-7594801,,
"Château Rivière, Cuvée Prestige",Chantovent,2017,14.5,750.0,119.0,France,Languedoc-Roussillon,Minervois,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/château-rivière-7156901,,
"Château d´Hautpoul, Grande Reserve",Chantovent,2013,13.5,750.0,139.0,France,Languedoc-Roussillon,Minervois,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/château-d´hautpoul-7539201,,
"Realzin, Zinfandel",Angelo Rocca & Figli Srl,2018,13.0,750.0,110.0,Italy,Apulia,Salento,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/realzin-7325501,https://product-cdn.systembolaget.se/productimages/1026824/1026824,
"Domaine Les Fumées Blanches, Sauvignon Blanc",François Lurton,2019,12.5,750.0,129.0,France,France southwest,Côtes de Gascogne IGP,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/domaine-les-fumées-blanches-7730301,,
Cavas Avinyó Mixbox,Avinyó,,11.5,4500.0,1050.0,Spain,Cava,,Mixed boxes of wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/cavas-avinyó-mixlåda-7795609,,
"R Dumont, Brut Millésimé",R. Dumont & Fils,2008,12.0,750.0,419.0,France,Champagne,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/r-dumont-7750101,,
"AA Laièta, Gran Reserva Brut Nature",Alta Alella,2012,12.0,750.0,279.0,Spain,Cava,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/aa-laièta-7773401,,
"AA Orbus, 100% Syrah",Alta Alella,2013,13.5,750.0,359.0,Spain,Catalonia,Alella,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/aa-orbus-7563101,,
"Chablis, Grand Cru Les Clos Clotilde Davenne",Clotilde Davenne,2015,13.5,750.0,599.0,France,Burgundy,Chablis,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/chablis-7508801,,
Pinet's Picpoulet,GFA Font Mars,2018,13.0,750.0,138.0,France,Languedoc-Roussillon,Coteaux du Languedoc,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/picpoulet-de-pinet-7533001,,
"Bründlmayer, Langenloiser Steinmassel 1ÖTW Riesling",Weingut Bründlmayer,2016,12.5,750.0,199.0,Austria,Lower Austria,Kamptal,White wine,Fresh & Fruity,"Served at 8-10 ° C with fish or seafood dishes, or as an aperitif.","Nuanced, fruity, very fresh taste with hints of pear, mineral, white peach, herbs and lime.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/bründlmayer-243901,https://product-cdn.systembolaget.se/productimages/10357429/10357429,
